created_date_time,content
1512592768967,"{""status"":{""zwave_signal"":null}}"
1512592768987,"{""status"":{""battery"":100}}"
1512592769988,"{""status"":{""room_temp"":74}}"
1512592776160,"{""status"":{""battery"":100}}"
1512592777320,"{""status"":{""fan"":""auto"",""source"":""physical"",""hold_until"":""2017-12-07T00:39:37.309Z""}}"
1512592844597,"{""status"":{""mode"":""cool"",""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:40:44.590Z""}}"
1512592844698,"{""status"":{""cooling_setpoint"":78,""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:40:44.693Z""}}"
1512592847691,"{""status"":{""heating_setpoint"":75,""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:40:47.686Z""}}"
1512592848697,"{""status"":{""cooling_setpoint"":78,""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:40:48.692Z""}}"
1512592849695,"{""status"":{""mode"":""cool"",""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:40:49.689Z""}}"
1512592860038,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:41:00.032Z""}}"
1512592860140,"{""status"":{""heating_setpoint"":79,""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:41:00.133Z""}}"
1512592863137,"{""status"":{""heating_setpoint"":79,""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:41:03.131Z""}}"
1512592864140,"{""status"":{""cooling_setpoint"":82,""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:41:04.135Z""}}"
1512592865140,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7448,""hold_until"":""2017-12-07T00:41:05.134Z""}}"
1512592899664,"{""status"":{""operating_state"":""Heating""}}"
1512593005651,"{""status"":{""deviceDownTS"":null}}"
1512593009660,"{""status"":{""mode"":""off"",""source"":""physical"",""hold_until"":""2017-12-07T00:43:29.654Z""}}"
1512593010709,"{""status"":{""operating_state"":""Pending_Heat""}}"
1512593312059,"{""status"":{""operating_state"":""Off""}}"
1512593314686,"{""status"":{""mode"":""heat"",""source"":""physical"",""hold_until"":""2017-12-07T00:48:34.677Z""}}"
1512593323591,"{""status"":{""heating_setpoint"":75,""source"":""physical"",""hold_until"":""2017-12-07T00:48:43.586Z""}}"
1512593576225,"{""status"":{""room_temp"":75}}"
1512593577260,"{""status"":{""operating_state"":""Pending_Heat""}}"
1512593892667,"{""status"":{""operating_state"":""Off""}}"
1512594207715,"{""status"":{""room_temp"":75}}"
1512594207801,"{""status"":{""operating_state"":""Off""}}"
1512597809816,"{""status"":{""room_temp"":75}}"
1512597809895,"{""status"":{""operating_state"":""Off""}}"
1512599379609,"{""status"":{""room_temp"":76}}"
1512601411958,"{""status"":{""room_temp"":76}}"
1512601412042,"{""status"":{""operating_state"":""Off""}}"
1512605014069,"{""status"":{""room_temp"":76}}"
