created_date_time,content
1541190351039,"{""status"":{""room_temp"":83}}"
1541192536141,"{""status"":{""room_temp"":83}}"
1541192536322,"{""status"":{""operating_state"":""Off""}}"
1541192604095,"{""status"":{""room_temp"":82}}"
1541194987312,"{""status"":{""room_temp"":81}}"
1541196138067,"{""status"":{""room_temp"":81}}"
1541196138125,"{""status"":{""operating_state"":""Off""}}"
1541199348881,"{""notification"":{""message"":[""[HeatPreventionRule]"",""{ Rule broke }  (room temperature) 100 is above  <Heat_prevention_temperature> 92 <Adjusted-Settings>  (cooling set-point) 92 (mode) COOL""]}}"
1541199350311,"{""status"":{""mode"":""cool"",""source"":""rule""}}"
1541199743852,"{""status"":{""room_temp"":81}}"
1541203101439,"{""status"":{""cooling_setpoint"":75,""source"":""schedule"",""schedule_id"":""817210af-1e26-4ffa-be42-94e705645a4a""}}"
1541203101655,"{""status"":{""heating_setpoint"":63,""source"":""schedule"",""schedule_id"":""817210af-1e26-4ffa-be42-94e705645a4a""}}"
1541203213652,"{""status"":{""room_temp"":81}}"
1541203213860,"{""status"":{""operating_state"":""Cooling""}}"
1541203518604,"{""status"":{""cooling_setpoint"":71,""source"":""schedule"",""schedule_id"":""817210af-1e26-4ffa-be42-94e705645a4a""}}"
1541203518674,"{""status"":{""heating_setpoint"":68,""source"":""schedule"",""schedule_id"":""817210af-1e26-4ffa-be42-94e705645a4a""}}"
1541209549963,"{""status"":{""room_temp"":81}}"
1541209550196,"{""status"":{""operating_state"":""Cooling""}}"
1541209902053,"{""status"":{""heating_setpoint"":65,""source"":""physical"",""hold_until"":""2018-11-03T05:51:42.037Z""}}"
1541209903015,"{""status"":{""cooling_setpoint"":68,""source"":""physical"",""hold_until"":""2018-11-03T05:51:43.002Z""}}"
1541210027561,"{""status"":{""mode"":""auto"",""source"":""physical"",""hold_until"":""2018-11-03T05:53:47.550Z""}}"
1541210044098,"{""notification"":{""message"":[""[ACRangeRule]"",""{ Rule broke }  (cooling set-point) 68 is below  <Lowest_cool_set-point> 72 <Adjusted-Settings>  (cooling set-point) 72""]}}"
1541210045777,"{""status"":{""cooling_setpoint"":72,""source"":""rule""}}"
1541210071679,"{""status"":{""mode"":""off"",""source"":""physical"",""hold_until"":""2018-11-03T05:54:31.672Z""}}"
1541210077276,"{""status"":{""cooling_setpoint"":68,""source"":""physical"",""hold_until"":""2018-11-03T05:54:37.267Z""}}"
1541210084730,"{""status"":{""room_temp"":82}}"
1541210104159,"{""notification"":{""message"":[""[ACRangeRule]"",""{ Rule broke }  (cooling set-point) 68 is below  <Lowest_cool_set-point> 72 <Adjusted-Settings>  (cooling set-point) 72""]}}"
1541210105676,"{""status"":{""cooling_setpoint"":72,""source"":""rule""}}"
1541210188325,"{""status"":{""heating_setpoint"":61,""source"":""physical"",""hold_until"":""2018-11-03T05:56:28.304Z""}}"
1541210190913,"{""status"":{""cooling_setpoint"":68,""source"":""physical"",""hold_until"":""2018-11-03T05:56:30.895Z""}}"
1541210228611,"{""notification"":{""message"":[""[ACRangeRule]"",""{ Rule broke }  (cooling set-point) 68 is below  <Lowest_cool_set-point> 72 <Adjusted-Settings>  (cooling set-point) 72""]}}"
